CHANGE,CODE,CONFIG,Digits,FILE,HELP,HTMLVER,"HTML_FILE",Image,ImageName,NEXTPAGE,Page,QALIAS,QNikto,Qname,"_raw","_time",action,app,az,basehref,branch,bytes,c,calbirthdays,"cart_id",cartid,cartname,category,classification,clientip,comma,command,cookie,cvsroot,date,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",day,desc,"dest_ip","dest_port",dn,etype,eventtype,file,filename,folder,foot,forum,"generator_id",head,host,hours,ident,index,key,linecount,method,module,name,next,other,pa,page,param1,passurl,person,priority,proto,protocol,punct,query,referer,"referer_domain","req_time",root,sd,setup,severity,signature,"signature_rev",sortby,source,sourcetype,"splunk_server","splunk_server_group","src_ip","src_port",status,tag,"tag::eventtype",template,timeendpos,timestartpos,uri,"uri_domain","uri_path","uri_query",user,useragent,version,view,who
,,,,,,,,,,,,,,,"[Fri Jun 20 15:35:00 2014] [error] [client 118.71.82.220] script not found or unable to stat: /var/www/cgi-bin/php4","2014-06-20T15:35:00.000-0700",,,,,,,,,,,,,,,,,,,,15,20,35,june,0,friday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140621","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"118.71.82.220 - - [20/Jun/2014:15:35:00 -0700] ""POST /cgi-bin/php4?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 287 ""-"" ""Mozilla/5.0 (compatible; Zollard; Linux)""","2014-06-20T15:35:00.000-0700",,,,,,,,,,,,,,"118.71.82.220",,,,,,15,20,35,june,0,friday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/?%%+%%%%%%%%%%%%%%%%%%%%+%%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140621","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"[Fri Jun 20 15:34:59 2014] [error] [client 118.71.82.220] script not found or unable to stat: /var/www/cgi-bin/php.cgi","2014-06-20T15:34:59.000-0700",,,,,,,,,,,,,,,,,,,,15,20,34,june,59,friday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/.",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140621","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"[Fri Jun 20 15:34:59 2014] [error] [client 118.71.82.220] script not found or unable to stat: /var/www/cgi-bin/php-cgi","2014-06-20T15:34:59.000-0700",,,,,,,,,,,,,,,,,,,,15,20,34,june,59,friday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/-",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140621","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"118.71.82.220 - - [20/Jun/2014:15:34:59 -0700] ""POST /cgi-bin/php.cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 290 ""-"" ""Mozilla/5.0 (compatible; Zollard; Linux)""","2014-06-20T15:34:59.000-0700",,,,,,,,,,,,,,"118.71.82.220",,,,,,15,20,34,june,59,friday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/.?%%+%%%%%%%%%%%%%%%%%%%%+%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140621","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"118.71.82.220 - - [20/Jun/2014:15:34:59 -0700] ""POST /cgi-bin/php-cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 290 ""-"" ""Mozilla/5.0 (compatible; Zollard; Linux)""","2014-06-20T15:34:59.000-0700",,,,,,,,,,,,,,"118.71.82.220",,,,,,15,20,34,june,59,friday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/-?%%+%%%%%%%%%%%%%%%%%%%%+%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140621","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"[Fri Jun 20 15:34:58 2014] [error] [client 118.71.82.220] script not found or unable to stat: /var/www/cgi-bin/php5","2014-06-20T15:34:58.000-0700",,,,,,,,,,,,,,,,,,,,15,20,34,june,58,friday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140621","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"118.71.82.220 - - [20/Jun/2014:15:34:58 -0700] ""POST /cgi-bin/php5?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 287 ""-"" ""Mozilla/5.0 (compatible; Zollard; Linux)""","2014-06-20T15:34:58.000-0700",,,,,,,,,,,,,,"118.71.82.220",,,,,,15,20,34,june,58,friday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/?%%+%%%%%%%%%%%%%%%%%%%%+%%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140621","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"[Fri Jun 20 15:34:57 2014] [error] [client 118.71.82.220] script not found or unable to stat: /var/www/cgi-bin/php","2014-06-20T15:34:57.000-0700",,,,,,,,,,,,,,,,,,,,15,20,34,june,57,friday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140621","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"118.71.82.220 - - [20/Jun/2014:15:34:57 -0700] ""POST /cgi-bin/php?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 286 ""-"" ""Mozilla/5.0 (compatible; Zollard; Linux)""","2014-06-20T15:34:57.000-0700",,,,,,,,,,,,,,"118.71.82.220",,,,,,15,20,34,june,57,friday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/?%%+%%%%%%%%%%%%%%%%%%%%+%%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140621","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"176.124.185.17 - - [19/Jun/2014:00:31:09 -0700] ""GET /cgi-bin/rtpd.cgi?/bin/busybox HTTP/1.0"" 404 291 ""-"" ""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36""","2014-06-19T00:31:09.000-0700",,,,,,,,,,,,,,"176.124.185.17",,,,,,0,19,31,june,9,thursday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/.?//_/.""___""-""_""/._(__.)_/.",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140619","access_log-too_small",RazLT,,,,,,,,46,20,,,,,,,,,
,,,,,,,,,,,,,,,"[Thu Jun 19 00:31:09 2014] [error] [client 176.124.185.17] script not found or unable to stat: /var/www/cgi-bin/rtpd.cgi","2014-06-19T00:31:09.000-0700",,,,,,,,,,,,,,,,,,,,0,19,31,june,9,thursday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/.",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140619","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"[Wed Jun 18 00:01:42 2014] [error] [client 121.171.235.3] script not found or unable to stat: /var/www/cgi-bin/wlogin.cgi","2014-06-18T00:01:42.000-0700",,,,,,,,,,,,,,,,,,,,0,18,1,june,42,wednesday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/.",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140618","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"121.171.235.3 - - [18/Jun/2014:00:01:42 -0700] ""POST /cgi-bin/wlogin.cgi HTTP/1.1"" 404 293 ""-"" ""-""","2014-06-18T00:01:42.000-0700",,,,,,,,,,,,,,"121.171.235.3",,,,,,0,18,1,june,42,wednesday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/._/.""___""-""_""-""",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140618","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"185.56.80.133 - - [14/Jun/2014:12:06:35 -0700] ""GET /cgi-bin/php4 HTTP/1.1"" 404 287 ""-"" ""-""","2014-06-14T12:06:35.000-0700",,,,,,,,,,,,,,"185.56.80.133",,,,,,12,14,6,june,35,saturday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/_/.""___""-""_""-""",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140615","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"185.56.80.133 - - [14/Jun/2014:12:06:35 -0700] ""GET /cgi-bin/php.cgi HTTP/1.1"" 404 290 ""-"" ""-""","2014-06-14T12:06:35.000-0700",,,,,,,,,,,,,,"185.56.80.133",,,,,,12,14,6,june,35,saturday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/._/.""___""-""_""-""",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140615","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
,,,,,,,,,,,,,,,"185.56.80.133 - - [14/Jun/2014:12:06:35 -0700] ""GET /cgi-bin/php-cgi HTTP/1.1"" 404 290 ""-"" ""-""","2014-06-14T12:06:35.000-0700",,,,,,,,,,,,,,"185.56.80.133",,,,,,12,14,6,june,35,saturday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/-_/.""___""-""_""-""",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140615","access_log-too_small",RazLT,,,,,,,,45,19,,,,,,,,,
